MsgID.LOCAL_VELOCITY,1522203218.0220366,7.3500000,4.9500000,0.0100000
MsgID.LOCAL_POSITION,1522203218.0261962,45.7036667,51.5363312,-3.9961927
MsgID.LOCAL_VELOCITY,1522203218.0261962,7.3530140,4.9501948,0.0164554
MsgID.GLOBAL_POSITION,1522203218.2719886,-122.3968566,37.7929079,3.9780000
MsgID.LOCAL_VELOCITY,1522203218.2719886,7.3400000,4.9500000,0.0500000
MsgID.LOCAL_POSITION,1522203218.2784061,47.4948044,53.0333595,-3.9789081
MsgID.LOCAL_VELOCITY,1522203218.2784061,7.3488932,4.9517083,0.0552711
MsgID.STATE,1522203218.5066977,True,True
MsgID.GLOBAL_HOME,1522203218.5088565,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203218.5462923,-122.3968425,37.7929263,3.9760000
MsgID.LOCAL_VELOCITY,1522203218.5462923,7.3900000,4.9600000,-0.1000000
MsgID.LOCAL_POSITION,1522203218.5466766,49.5943413,54.3214798,-3.9767952
MsgID.LOCAL_VELOCITY,1522203218.5466766,7.3906560,4.9611216,-0.0987912
MsgID.GLOBAL_POSITION,1522203218.7724361,-122.3968311,37.7929407,3.9680000
MsgID.LOCAL_VELOCITY,1522203218.7724361,7.3700000,4.9400000,-0.0100000
MsgID.LOCAL_POSITION,1522203218.7788081,51.2103729,55.3588943,-3.9672568
MsgID.LOCAL_VELOCITY,1522203218.7788081,7.3780651,4.9471016,-0.0184726
MsgID.GLOBAL_POSITION,1522203219.0232785,-122.3968169,37.7929568,3.9650000
MsgID.LOCAL_VELOCITY,1522203219.0232785,7.3900000,4.9600000,-0.1700000
MsgID.LOCAL_POSITION,1522203219.0277765,52.9291077,56.5621338,-3.9653394
MsgID.LOCAL_VELOCITY,1522203219.0277765,7.3970785,4.9661331,-0.1719633
MsgID.GLOBAL_POSITION,1522203219.2742364,-122.3968012,37.7929743,3.9830000
MsgID.LOCAL_VELOCITY,1522203219.2742364,7.4000000,4.9600000,-0.2700000
MsgID.LOCAL_POSITION,1522203219.2787631,54.8712082,57.9589920,-3.9837542
MsgID.LOCAL_VELOCITY,1522203219.2787631,7.4067502,4.9687572,-0.2747172
MsgID.STATE,1522203219.5076838,True,True
MsgID.GLOBAL_HOME,1522203219.5096574,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203219.5463498,-122.3967859,37.7929903,3.9730000
MsgID.LOCAL_VELOCITY,1522203219.5463498,7.3600000,4.9200000,-0.0400000
MsgID.LOCAL_POSITION,1522203219.5466518,56.7429047,59.3771515,-3.9722629
MsgID.LOCAL_VELOCITY,1522203219.5466518,7.3641319,4.9183912,-0.0422233
MsgID.GLOBAL_POSITION,1522203219.7738161,-122.3967745,37.7930071,3.9580000
MsgID.LOCAL_VELOCITY,1522203219.7738161,7.4200000,4.9100000,-0.2000000
MsgID.LOCAL_POSITION,1522203219.7779894,58.5941544,60.3758774,-3.9590526
MsgID.LOCAL_VELOCITY,1522203219.7779894,7.4267468,4.9159966,-0.2074167
MsgID.GLOBAL_POSITION,1522203220.0241380,-122.3967616,37.7930236,3.9780000
MsgID.LOCAL_VELOCITY,1522203220.0241380,7.4100000,4.9200000,-0.2000000
MsgID.LOCAL_POSITION,1522203220.0287690,60.3484535,61.4780006,-3.9788373
MsgID.LOCAL_VELOCITY,1522203220.0287690,7.4156394,4.9237609,-0.2020330
MsgID.GLOBAL_POSITION,1522203220.2745612,-122.3967451,37.7930412,3.9870000
MsgID.LOCAL_VELOCITY,1522203220.2745612,7.3500000,4.9200000,-0.0400000
MsgID.LOCAL_POSITION,1522203220.2789578,62.3064728,62.9464874,-3.9879289
MsgID.LOCAL_VELOCITY,1522203220.2789578,7.3592448,4.9227133,-0.0481110
MsgID.STATE,1522203220.5086131,True,True
MsgID.GLOBAL_HOME,1522203220.5091326,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203220.5231266,-122.3967306,37.7930588,3.9830000
MsgID.LOCAL_VELOCITY,1522203220.5231266,7.3800000,4.9000000,-0.0100000
MsgID.LOCAL_POSITION,1522203220.5624321,64.2609329,64.2402115,-3.9832790
MsgID.LOCAL_VELOCITY,1522203220.5624321,7.3809462,4.9092445,-0.0117515
MsgID.GLOBAL_POSITION,1522203220.7730908,-122.3967202,37.7930735,3.9980000
MsgID.LOCAL_VELOCITY,1522203220.7730908,7.4000000,4.8900000,0.0000000
MsgID.LOCAL_POSITION,1522203220.7793810,65.9809570,65.2122192,-3.9992778
MsgID.LOCAL_VELOCITY,1522203220.7793810,7.4039226,4.8995647,0.0007244
MsgID.GLOBAL_POSITION,1522203221.0240440,-122.3967076,37.7930901,4.0110000
MsgID.LOCAL_VELOCITY,1522203221.0240440,7.3500000,4.9200000,0.1400000
MsgID.LOCAL_POSITION,1522203221.0284209,67.7394562,66.2801437,-4.0112915
